parent_company,tCO2e_2023_attributed
COLORADO BEND 1 POWER LLC,1112844
SOUTHWESTERN ENERGY CO INC,1106218
STARWOOD CAPITAL GROUP LLC,1098872
IKAV Impact USA Inc,1084661
Hull Street Energy,1082257
ENERGY TRANSITION & ENVIRONMENTAL MANAGEMENT LLC,1076241
TENASKA ALABAMA PARTNERS LP,1069085
PETRO-HUNT LLC,1066308
DOGWOOD POWER MANAGEMENT LLC,1048316
SOUTHERN ILLINOIS POWER COOPERATIVE,1047164
US LIME & MINERALS INC,1033604
MERIT ENERGY CO LLC,1020103
CALUMET SPECIALTY PRODUCTS PARTNERS LP,1019801
POET HOLDING CO LLC,1017410
USG CORP,1015170
KLEEN ENERGY SYSTEMS LLC,1014344
BRIDGEPORT ENERGY LLC,1012876
WTG SOUTH PERMIAN MIDSTREAM LLC,1003995
METHANEX USA LLC,1003452
NORTHERN STAR GENERATION LLC,1002483
SENTINEL PEAK RESOURCES LLC,989861
TALLGRASS DEVELOPMENT LP,987881
